epoch,cost,train,test,epoch_time,total_time
0,3.2745821475982666,0.26816,0.2669,0.34282588958740234,0.342832088470459
10,0.7608127593994141,0.75354,0.7623,0.21136021614074707,2.8819570541381836
20,0.473416343331337,0.86574,0.8764,0.2112290859222412,5.176753997802734
30,0.3832698315382004,0.89042,0.8974,0.21013498306274414,7.3974449634552
40,0.33737166225910187,0.90322,0.9083,0.20461487770080566,9.54594087600708
50,0.30732470750808716,0.91072,0.9158,0.2010788917541504,11.706753015518188
60,0.2850996255874634,0.9173,0.9206,0.207319974899292,13.909539937973022
70,0.2675217241048813,0.92314,0.9248,0.19186878204345703,16.104186058044434
80,0.25294774770736694,0.92708,0.927,0.2027907371520996,18.33202600479126
90,0.240531787276268,0.931,0.9308,0.2067861557006836,20.49837589263916
100,0.22978106886148453,0.93418,0.9334,0.19761300086975098,22.658507823944092
110,0.22030901163816452,0.93702,0.9353,0.2040109634399414,24.808366060256958
120,0.21186718344688416,0.93966,0.9381,0.20653295516967773,27.131581783294678
130,0.20427876710891724,0.9422,0.9397,0.2047131061553955,29.34309697151184
140,0.19739258289337158,0.94414,0.9415,0.20296597480773926,31.501293897628784
150,0.19109366834163666,0.94598,0.9425,0.2039191722869873,33.65499997138977
160,0.1852840781211853,0.94766,0.9438,0.19487404823303223,35.824384927749634
170,0.1798996850848198,0.94886,0.9454,0.21013617515563965,37.979182958602905
180,0.17488538473844528,0.95034,0.9457,0.20350217819213867,40.13158392906189
190,0.1702103465795517,0.95176,0.9468,0.20557022094726562,42.29443907737732
199,0.16626495867967606,0.9531,0.9477,0.21428728103637695,44.27192211151123
